investor_a,investor_b,timesCoInvested
Mohit Satyan,Zishaan Hayath,1
Karan Chellani,Mohit Satyan,1
Endiya Partners,IDG Ventures,1
Andre Hoffman,Lohia Group,1
Blume Ventures,Girish Mathrubootham,1
Aprameya Radhakrishna,Blume Ventures,3
Blume Ventures,Nexus Venture Partners,3
Axilor Ventures,Parampara Early Stage Opportunities Fund & Others,1
Harsh V. Pant,Ratheesh Raveendran,1
Innoven Capital,Nexus Venture Partners,1
Menterra Social Impact Fund,Unitus Seed Fund,1
Tencent,\\xc2\\xa0 ru-Net,1
RSI Fund,Tencent,1
Tencent,Thrive Capital,1
RSI Fund,\\xc2\\xa0 ru-Net,1
Thrive Capital,\\xc2\\xa0 ru-Net,1
RSI Fund,Thrive Capital,1
Ajith Nair,Anish K,1
Amajit Gupta,Praveen Dubey,1
Amajit Gupta,J.P. Bhatt,1
J.P. Bhatt,Praveen Dubey,1
Fireside Ventures,Mumbai Angels Network,1
Mumbai Angels Network,Singapore Angel Network,1
Fireside Ventures,Singapore Angel Network,1
Indian Angel Network,Native Angels Network,1
CapitalG,Sequoia India,1
Blume Ventures,Iron Pillar and IIFL,1
Iron Pillar and IIFL,Omidyar Network,1
GMO Japan,Neelesh Bhatnagar,1
Rajan Anandan,Sharad Sharma,2
Sharad Sharma,\\xc2\\xa0 Amit Ranjan,1
Alok Mittal & others,Sharad Sharma,1
Rajan Anandan,\\xc2\\xa0 Amit Ranjan,1
Alok Mittal & others,Rajan Anandan,1
Alok Mittal & others,\\xc2\\xa0 Amit Ranjan,1
Senovo,Unternehmertum Venture Capital,1
Alexander Bruehl,Senovo,1
Alexander Bruehl,Unternehmertum Venture Capital,1
Puthen & Cole,Rajesh Yohannan,1
Grace Capital Ventures,SQue Capital,1
SQue Capital,Soham Vencaps,1
Grace Capital Ventures,Soham Vencaps,1
American Express Ventures,DSG Consumer Partners,1
Cyber Carrier VC,DSG Consumer Partners,1
AdvantEdge Partners,DSG Consumer Partners,1
American Express Ventures,Cyber Carrier VC,1
AdvantEdge Partners,American Express Ventures,1
AdvantEdge Partners,Cyber Carrier VC,1
GEMs Advisory,Quarizon,1
Ajith Sukumaran,Currae Healthtech Fund,1
LetsVenture,The Chennai Angels,1
Mohan Kumar,V. Balakrishnan,1
MJ Aravind,Venk Krishnan,1
Venk Krishnan,Vikram Kotak,1
Jayant Davar,Venk Krishnan,1
Venk Krishnan,\\xc2\\xa0 Ramkumar Nishtal,1
Arjun Sharmaa,Venk Krishnan,1
MJ Aravind,Vikram Kotak,1
Jayant Davar,MJ Aravind,1
MJ Aravind,\\xc2\\xa0 Ramkumar Nishtal,1
Arjun Sharmaa,MJ Aravind,1
Jayant Davar,Vikram Kotak,1
Vikram Kotak,\\xc2\\xa0 Ramkumar Nishtal,1
Arjun Sharmaa,Vikram Kotak,1
Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal,1
Arjun Sharmaa,Jayant Davar,1
Arjun Sharmaa,\\xc2\\xa0 Ramkumar Nishtal,1
Appliyifi,Calcutta Angel Network,1
Ashvin Chadha,Siddhartha Gupta,1
India Quotient,Rajul Garg,1
India Quotient,Rajesh Yabaji,1
Chanakya Hridaya,India Quotient,1
India Quotient,Ramasubramaniam B,1
India Quotient,Vishwanathan,1
India Quotient,Nobel House,1
India Quotient,Sunstone Capital,1
Rajesh Yabaji,Rajul Garg,1
Chanakya Hridaya,Rajul Garg,1
Rajul Garg,Ramasubramaniam B,1
Rajul Garg,Vishwanathan,1
Nobel House,Rajul Garg,1
Rajul Garg,Sunstone Capital,1
Chanakya Hridaya,Rajesh Yabaji,1
Rajesh Yabaji,Ramasubramaniam B,1
Rajesh Yabaji,Vishwanathan,1
Nobel House,Rajesh Yabaji,1
Rajesh Yabaji,Sunstone Capital,1
Chanakya Hridaya,Ramasubramaniam B,1
Chanakya Hridaya,Vishwanathan,1
Chanakya Hridaya,Nobel House,1
Chanakya Hridaya,Sunstone Capital,1
Ramasubramaniam B,Vishwanathan,1
Nobel House,Ramasubramaniam B,1
Ramasubramaniam B,Sunstone Capital,1
Nobel House,Vishwanathan,1
Sunstone Capital,Vishwanathan,1
Nobel House,Sunstone Capital,1
Matrix Partners,Zodius Technology Opportunities Fund,1
FiNC,GHV,1
Anbu Pandian,Lead Angels Network,1
Lead Angels Network,Prabhakar MR & Others,1
Anbu Pandian,Prabhakar MR & Others,1
Bhupen Shah & Others,V. Krishna Prasad,1
Infosys Innovation Fund,WRV Capital and IndusAge Partners,1
Emerald Media,Premji Invest,1
North Base Media,Sequoia Capital India,1
Aarin Capital,Sequoia Capital India,1
3one4 Capital,Sequoia Capital India,1
Axilor Ventures,Sequoia Capital India,1
Kunal Shah,Sequoia Capital India,1
Sandeep Tandon,Sequoia Capital India,1
Aarin Capital,North Base Media,1
3one4 Capital,North Base Media,1
Axilor Ventures,North Base Media,1
Kunal Shah,North Base Media,1
North Base Media,Sandeep Tandon,1
3one4 Capital,Aarin Capital,2
Aarin Capital,Axilor Ventures,1
Aarin Capital,Kunal Shah,1
Aarin Capital,Sandeep Tandon,1
3one4 Capital,Axilor Ventures,1
3one4 Capital,Kunal Shah,1
3one4 Capital,Sandeep Tandon,1
Axilor Ventures,Kunal Shah,1
Axilor Ventures,Sandeep Tandon,1
GEMS Advisory,Quarizon,1
KTB Network,SAIF Partners,1
BEENEXT,KTB Network,1
Digital Garage,KTB Network,1
BEENEXT,SAIF Partners,1
Digital Garage,SAIF Partners,2
BEENEXT,Digital Garage,1
Anil Jain,Dr. Apoorv Ranjan Sharma,1
Anuj Golecha,Dr. Apoorv Ranjan Sharma,1
Dr. Apoorv Ranjan Sharma,Krishna Jhunjhunwala,1
Anirudh Damani,Dr. Apoorv Ranjan Sharma,2
Anil Jain,Anuj Golecha,1
Anil Jain,Krishna Jhunjhunwala,1
Anil Jain,Anirudh Damani,1
Anuj Golecha,Krishna Jhunjhunwala,1
Anirudh Damani,Anuj Golecha,1
Anirudh Damani,Krishna Jhunjhunwala,1
Indian Angel Network,Let\\xe2\\x80\\x99s Venture,1
Harminder Sahani,Kaushal Agarwal,1
KK Mehra,Kaushal Agarwal,1
Kaushal Agarwal,Pranay Jivrajka,1
Kaushal Agarwal,Navjot Saini,1
Harminder Sahani,KK Mehra,1
Harminder Sahani,Pranay Jivrajka,1
Harminder Sahani,Navjot Saini,1
KK Mehra,Pranay Jivrajka,1
KK Mehra,Navjot Saini,1
Navjot Saini,Pranay Jivrajka,1
Incubate Fund,Lead Angels Group & Others,1
Pradyumna Dalmia,S. Somasegar & Others,1
Ritesh Mehta,The Chennai Angels,1
Aruna Ganesh Ram,The Chennai Angels,1
Aruna Ganesh Ram,Ritesh Mehta,1
Binny Bansal,Sachin Bansal,4
Lead Angels,Mumbai Angels,1
Girish Mathrubootham,Lead Angels,1
Anbu Pandian,Lead Angels,1
Girish Mathrubootham,Mumbai Angels,1
Anbu Pandian,Mumbai Angels,1
Girish Mathrubootham,LetsVenture,1
Anbu Pandian,LetsVenture,1
Anbu Pandian,Girish Mathrubootham,1
RB Investments,\\xc2\\xa0 Kaleden Holdings,1
GHV Accelerator,Kedar Lele,1
Calcutta Angels Network,LetsVenture,1
Anupam Mittal,Calcutta Angels Network,1
Calcutta Angels Network,Currae Healthtech Fund,1
Currae Healthtech Fund,LetsVenture,1
Anupam Mittal,Currae Healthtech Fund,1
Ashish Gupta,Raman Roy,1
Raman Roy,Yogesh Andlay,1
Raman Roy,Vaibhav Jain,1
Ashish Gupta,Yogesh Andlay,1
Ashish Gupta,Vaibhav Jain,1
Vaibhav Jain,Yogesh Andlay,1
3one4 Capital,Mumbai Angels,1
Aarin Capital,Mumbai Angels,1
Ameera Shah,Vivek Bhargava,2
Justin Kan,Qasar Younis,1
Justin Kan,Paul Bucche,1
Justin Kan,Susa Ventures,1
Justin Kan,Kima Ventures,1
Axan Venture,Justin Kan,1
Justin Kan,SCM Holdings,1
Paul Bucche,Qasar Younis,1
Qasar Younis,Susa Ventures,1
Kima Ventures,Qasar Younis,1
Axan Venture,Qasar Younis,1
Qasar Younis,SCM Holdings,1
Paul Bucche,Susa Ventures,1
Kima Ventures,Paul Bucche,1
Axan Venture,Paul Bucche,1
Paul Bucche,SCM Holdings,1
Kima Ventures,Susa Ventures,1
Axan Venture,Susa Ventures,1
SCM Holdings,Susa Ventures,1
Axan Venture,Kima Ventures,1
Kima Ventures,SCM Holdings,1
Axan Venture,SCM Holdings,1
Arun Seth,T.V. Mohandas Pai,1
Anand Chandrasekaran,Arun Seth,1
Arun Seth,Deepak Ghaisas,1
Anand Chandrasekaran,T.V. Mohandas Pai,1
Deepak Ghaisas,T.V. Mohandas Pai,1
Anand Chandrasekaran,Deepak Ghaisas,1
BEENEXT,Sequoia India,1
Helion Ventures,Sequoia India,1
BEENEXT,Helion Ventures,1
IDG Ventures India,SAIF Partners,2
RTP-HC,Wonder Ventures,1
RTP-HC,Techstars Ventures & Others,1
Techstars Ventures & Others,Wonder Ventures,1
Kae Capital,Khosla Impact,1
Sanjai Vohra,V. Bunty Bohra,1
Delta Partners,Sequoia India,1
Delta Partners,\\xc2\\xa0 Mayfield,1
Blacksoil,Delta Partners,1
Delta Partners,Trifecta Capital,1
Sequoia India,\\xc2\\xa0 Mayfield,1
Blacksoil,Sequoia India,1
Sequoia India,Trifecta Capital,1
Blacksoil,\\xc2\\xa0 Mayfield,1
Trifecta Capital,\\xc2\\xa0 Mayfield,1
Blacksoil,Trifecta Capital,1
Axilor Ventures,IDG Ventures,1
Lightspeed US,Lightspeed Venture Partners India,1
Lightspeed India Partners,SAIF Partners,1
India Quotient,Lightspeed India Partners,1
Lightspeed India Partners,Venture Highway,1
India Quotient,SAIF Partners,3
India Quotient,Venture Highway,1
BEENEXT,Blume Ventures,1
Barkawi Holdings GmbH,Blume Ventures,2
Blume Ventures,TM Service Technology Holdings Gmbh,1
Blume Ventures,Sreevathsa Prabhakar,1
BEENEXT,Barkawi Holdings GmbH,1
BEENEXT,TM Service Technology Holdings Gmbh,1
BEENEXT,Sreevathsa Prabhakar,1
Barkawi Holdings GmbH,TM Service Technology Holdings Gmbh,1
Barkawi Holdings GmbH,Sreevathsa Prabhakar,1
Sreevathsa Prabhakar,TM Service Technology Holdings Gmbh,1
Girish Mathrubootham,VC Karthic,1
Girish Mathrubootham,Miten Mehta,1
Girish Mathrubootham,Umasankar Nistala,1
Girish Mathrubootham,Rakesh Patel,1
Akash Bhavsar,Girish Mathrubootham,1
Girish Mathrubootham,Jeevanandhan Rajagopal,1
Girish Mathrubootham,Vikas Chadha & Others,1
Miten Mehta,VC Karthic,1
Umasankar Nistala,VC Karthic,1
Rakesh Patel,VC Karthic,1
Akash Bhavsar,VC Karthic,1
Jeevanandhan Rajagopal,VC Karthic,1
VC Karthic,Vikas Chadha & Others,1
Miten Mehta,Umasankar Nistala,1
Miten Mehta,Rakesh Patel,1
Akash Bhavsar,Miten Mehta,1
Jeevanandhan Rajagopal,Miten Mehta,1
Miten Mehta,Vikas Chadha & Others,1
Rakesh Patel,Umasankar Nistala,1
Akash Bhavsar,Umasankar Nistala,1
Jeevanandhan Rajagopal,Umasankar Nistala,1
Umasankar Nistala,Vikas Chadha & Others,1
Akash Bhavsar,Rakesh Patel,1
Jeevanandhan Rajagopal,Rakesh Patel,1
Rakesh Patel,Vikas Chadha & Others,1
Akash Bhavsar,Jeevanandhan Rajagopal,1
Akash Bhavsar,Vikas Chadha & Others,1
Jeevanandhan Rajagopal,Vikas Chadha & Others,1
Aprameya Radhakrishna,Paytm,1
Paytm,Subramanya Venkat,1
Paytm,Venk Krishnan,1
Aprameya Radhakrishna,Subramanya Venkat,1
Aprameya Radhakrishna,Venk Krishnan,3
Subramanya Venkat,Venk Krishnan,1
Contrarian Vriddhi Fund,Manish Maheshwari,1
Kalaari Capital,Prime Venture Partners,1
Lumina Datamatics,Silver Range Investments,1
Shun Yoshida & Others,Silver Range Investments,1
Lumina Datamatics,Shun Yoshida & Others,1
Anand Sankeshwar,Yang Shu,1
Nitesh Pant,Shekhar Sahu,1
Dileep Bhatt,Milind Chaudhary,1
American Express Ventures,Sequoia Capital,1
IDG Ventures,Indian Angel Network (IAN),1
IDG Ventures,YourNest Angel Fund,1
Indian Angel Network (IAN),YourNest Angel Fund,1
BeeNext,TV Mohandas Pai,1
BeeNext,Kunal Shah,1
BeeNext,Sandeep Tandon,1
Kunal Shah,TV Mohandas Pai,1
Sandeep Tandon,TV Mohandas Pai,1
Naveen Arya,Tarun Joshi,1
Accel Partners,SeedPlus,1
Jungle Ventures,SeedPlus,1
TransGlobal FZC,Xchange Investors NV,1
Pravin Gandhi,Vijay Shekhar Sharma,1
Vijay Shekhar Sharma,\\xc2\\xa0 Smart Start Fund,1
Vijay Shekhar Sharma,\\xc2\\xa0 Sandeep Tandon,1
& Others,Vijay Shekhar Sharma,1
Pravin Gandhi,\\xc2\\xa0 Smart Start Fund,1
Kunal Shah,Pravin Gandhi,1
Pravin Gandhi,\\xc2\\xa0 Sandeep Tandon,1
Pravin Gandhi,Vishal Gondal,1
& Others,Pravin Gandhi,1
Kunal Shah,\\xc2\\xa0 Smart Start Fund,1
\\xc2\\xa0 Sandeep Tandon,\\xc2\\xa0 Smart Start Fund,1
Vishal Gondal,\\xc2\\xa0 Smart Start Fund,1
& Others,\\xc2\\xa0 Smart Start Fund,1
Kunal Shah,\\xc2\\xa0 Sandeep Tandon,1
& Others,Kunal Shah,1
Vishal Gondal,\\xc2\\xa0 Sandeep Tandon,1
& Others,\\xc2\\xa0 Sandeep Tandon,1
& Others,Vishal Gondal,1
Kalaari Capital,Zodius Capital,2
Qualcomm Ventures,Zodius Capital,1
Russian venture capital fund Ru-Net,Zodius Capital,1
Mumbai Angels,Zodius Capital,1
Kalaari Capital,Qualcomm Ventures,1
Kalaari Capital,Russian venture capital fund Ru-Net,1
Kalaari Capital,Mumbai Angels,1
Qualcomm Ventures,Russian venture capital fund Ru-Net,1
Mumbai Angels,Qualcomm Ventures,1
Mumbai Angels,Russian venture capital fund Ru-Net,1
Kae Capital,White Unicorn Ventures,1
Mumbai Angels,White Unicorn Ventures,1
Kae Capital,Mumbai Angels,2
Healthsquad,Indian Angel Network,1
Axilor Ventures,Healthsquad,1
Kiran Mazumdar-Shaw,Unitus Seed Fund,1
BeeNext,Helion Venture Partners,1
Faering Capital,HDFC,2
Elevate Sports,HDFC,2
Elevate Sports,Faering Capital,2
Sanjay Nayar,Vikram Sud,1
Anil Jaggia,Sanjay Nayar,1
Narayan Seshadri,Sanjay Nayar,1
Anil Jaggia,Vikram Sud,1
Narayan Seshadri,Vikram Sud,1
Anil Jaggia,Narayan Seshadri,1
Manickam Mahalingam,Nitin Passi,1
Nitin Passi,Udaan Angels,1
Nitin Passi,Rajesh Arora,1
Arkas Industries,Nitin Passi,1
Manickam Mahalingam,Udaan Angels,1
Manickam Mahalingam,Rajesh Arora,1
Arkas Industries,Manickam Mahalingam,1
Rajesh Arora,Udaan Angels,1
Arkas Industries,Udaan Angels,1
Arkas Industries,Rajesh Arora,1
GrowX Ventures,Sunil Kalra,1
Arun Venkatachalam,GrowX Ventures,1
GrowX Ventures,\\xc2\\xa0 Badal Malick,1
Arun Venkatachalam,Sunil Kalra,1
Sunil Kalra,\\xc2\\xa0 Badal Malick,1
Arun Venkatachalam,\\xc2\\xa0 Badal Malick,1
FAO Ventures,India Quotient,1
India Quotient,Indian Angel Network,1
India Quotient,Tushar Singh,1
India Quotient,Ranjan Sharma,1
FAO Ventures,Indian Angel Network,1
FAO Ventures,Tushar Singh,1
FAO Ventures,Ranjan Sharma,1
Indian Angel Network,Tushar Singh,1
Indian Angel Network,Ranjan Sharma,1
Ranjan Sharma,Tushar Singh,1
Arun Sarin,ByteDance,1
ByteDance,Matrix Partners,1
ByteDance,Sequoia Capital India,1
ByteDance,Omidyar Network,1
ByteDance,\\xc2\\xa0 Falcon Edge,1
Arun Sarin,Matrix Partners,1
Arun Sarin,Sequoia Capital India,1
Arun Sarin,Omidyar Network,1
Arun Sarin,\\xc2\\xa0 Falcon Edge,1
Matrix Partners,Sequoia Capital India,1
Matrix Partners,Omidyar Network,1
Matrix Partners,\\xc2\\xa0 Falcon Edge,1
Omidyar Network,Sequoia Capital India,2
Sequoia Capital India,\\xc2\\xa0 Falcon Edge,1
Omidyar Network,\\xc2\\xa0 Falcon Edge,1
Mayank Shah,Shreyans Shah,1
Rajiv Lunkad,Vishnu Bhat,1
Naresh Ravindranath,Vishnu Bhat,1
Naresh Ravindranath,Rajiv Lunkad,1
Boman Irani,Dhruv Chitgopekar,1
Boman Irani,Prantik Dasgupta,1
Dhruv Chitgopekar,Prantik Dasgupta,1
Hyderabad Angels,TLabs,1
Axis Capital & Others,Lightbox Ventures,1
Raghunandan G,Saama Capital,1
Aprameya Radhakrishna,Saama Capital,1
Aprameya Radhakrishna,Raghunandan G,1
Blume ventures,Helion Ventures,1
IIFL Seed Ventures Fund,Mayfield Ventures,1
Anand Chandrasekaran,Astarc Ventures,1
Franchise India Brands,hooting Starts Sports LLP,1
1Crowd,Eureka Forbes Ltd,1
1Crowd,Shapoorji Pallonji & Co. Ltd.,1
Eureka Forbes Ltd,Shapoorji Pallonji & Co. Ltd.,1
Afsal Salu,Ajay Nanavati,1
Aarin Capital,Michael Herzig,1
Aarin Capital,Ashish Lakhanpal,1
Ashish Lakhanpal,Michael Herzig,1
"Exfinity Ventures, growX ventures",Sequoia India,1
Anita Dongre,Yash Dongre,1
Anita Dongre,Milind Sarwate,1
Milind Sarwate,Yash Dongre,1
Infina Finance Pvt. Ltd,Uday Kotak,1
Sequoia India,Venturra Capital,1
Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners,Venturra Capital,1
Beenext,Venturra Capital,1
Beenos,Venturra Capital,1
Digital Garage,Venturra Capital,1
Sequoia India,Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners,1
Beenos,Sequoia India,1
Digital Garage,Sequoia India,1
Beenext,Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners,1
Beenos,Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners,1
Digital Garage,Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners,1
Earlsfield Capital,Sailender Solanki,1
Earlsfield Capital,Rajiv Solanki,1
Rajiv Solanki,Sailender Solanki,1
CareerNet Consulting Pvt. Ltd,Ideation Initiative Pvt. Ltd,1
Chan Zuckerberg Initiative,Times Internet Ltd,1
Chan Zuckerberg Initiative,Sequoia Capital,1
Chan Zuckerberg Initiative,Sofina,1
Chan Zuckerberg Initiative,Lightspeed Ventures,1
Sequoia Capital,Times Internet Ltd,1
Sofina,Times Internet Ltd,1
Lightspeed Ventures,Times Internet Ltd,1
Sequoia Capital,Sofina,2
Lightspeed Ventures,Sequoia Capital,3
Lightspeed Ventures,Sofina,1
Amit Nagar,havya Sharma,1
Harinder Takhar,Zain Raj,1
Dr. Prasad Kaipa,Harinder Takhar,1
Abaran Deep,Harinder Takhar,1
Aseem Sood,Harinder Takhar,1
Harinder Takhar,Mustafa Patni,1
Dr. Prasad Kaipa,Zain Raj,1
Abaran Deep,Zain Raj,1
Aseem Sood,Zain Raj,1
Mustafa Patni,Zain Raj,1
Abaran Deep,Dr. Prasad Kaipa,1
Aseem Sood,Dr. Prasad Kaipa,1
Dr. Prasad Kaipa,Mustafa Patni,1
Abaran Deep,Aseem Sood,1
Abaran Deep,Mustafa Patni,1
Aseem Sood,Mustafa Patni,1
Augment Ventures,Rahul Kayan,1
Augment Ventures,Nikhil Golcha,1
Augment Ventures,Shubham Gupta,1
Augment Ventures,Roy Kwan,1
Nikhil Golcha,Rahul Kayan,1
Rahul Kayan,Shubham Gupta,1
Rahul Kayan,Roy Kwan,1
Nikhil Golcha,Shubham Gupta,1
Nikhil Golcha,Roy Kwan,1
Roy Kwan,Shubham Gupta,1
Mariwala family,Sunil Munjal,1
Aqeel Ahmed,Pradeep Mirani,1
Anand Ladsariya,Pradeep Mirani,1
Nitin Agarwal,Pradeep Mirani,1
Anand Ladsariya,Aqeel Ahmed,1
Aqeel Ahmed,Nitin Agarwal,1
Anand Ladsariya,Nitin Agarwal,1
Balasubramanian Krishnamurthy,Sidhartha Hazarika & Others,1
Dheeraj Jain,Palash Jain,1
Anupam Mittal,Dheeraj Jain,2
Ameera Shah,Dheeraj Jain,1
Dheeraj Jain,\\xc2\\xa0 Vivek Bhargava,1
Dheeraj Jain,Rahul Singh,1
Ambarish Gupta,Dheeraj Jain,1
Anupam Mittal,Palash Jain,1
Ameera Shah,Palash Jain,1
Palash Jain,\\xc2\\xa0 Vivek Bhargava,1
Palash Jain,Rahul Singh,1
Ambarish Gupta,Palash Jain,1
Ameera Shah,Anupam Mittal,1
Anupam Mittal,\\xc2\\xa0 Vivek Bhargava,1
Anupam Mittal,Rahul Singh,1
Ambarish Gupta,Anupam Mittal,1
Ameera Shah,\\xc2\\xa0 Vivek Bhargava,1
Ameera Shah,Rahul Singh,1
Ambarish Gupta,Ameera Shah,1
Rahul Singh,\\xc2\\xa0 Vivek Bhargava,1
Ambarish Gupta,\\xc2\\xa0 Vivek Bhargava,1
Ambarish Gupta,Rahul Singh,1
Ganesh Narasimhan,Ramana Thumu,1
Ganesh Narasimhan,Sudhir Mallem,1
Ramana Thumu,Sudhir Mallem,1
KellyGamma,Lead Angels & Others,1
Goldman Sachs Group,Zodius Technology Fund,1
Goldman Sachs Group,Norwest Venture Partners,1
Bertelsmann India,Goldman Sachs Group,1
Norwest Venture Partners,Zodius Technology Fund,1
Bertelsmann India,Zodius Technology Fund,1
Bertelsmann India,Norwest Venture Partners,1
Accel Partners,Beenext,1
Accel Partners,Powerhouse Ventures,1
Accel Partners,Akusa Holdings,1
Beenext,Powerhouse Ventures,1
Akusa Holdings,Beenext,1
Akusa Holdings,Powerhouse Ventures,1
Currae Healthtech Fund,Unicorn India Ventures,1
Cisco Ventures,Vertex Ventures,1
IDG Ventures,Vertex Ventures,1
Cisco Ventures,IDG Ventures,1
Gaurav Agarwal,Prashant Tandon,2
Gaurav Bhogle,Prashant Tandon,1
Prashant Tandon,Shrishti Sahu,1
Prashant Tandon,Shantanu Mathur,1
Prabhat Aggarwal,Prashant Tandon,1
Gaurav Agarwal,Gaurav Bhogle,1
Gaurav Agarwal,Shrishti Sahu,1
Gaurav Agarwal,Shantanu Mathur,1
Gaurav Agarwal,Prabhat Aggarwal,1
Gaurav Bhogle,Shrishti Sahu,1
Gaurav Bhogle,Shantanu Mathur,1
Gaurav Bhogle,Prabhat Aggarwal,1
Shantanu Mathur,Shrishti Sahu,1
Prabhat Aggarwal,Shrishti Sahu,1
Prabhat Aggarwal,Shantanu Mathur,1
EDBI,Sequoia India,1
Blue Cloud Ventures,Sequoia India,1
Hercules Capital,Sequoia India,1
Blue Cloud Ventures,EDBI,1
EDBI,Hercules Capital,1
Blue Cloud Ventures,Hercules Capital,1
Ajay Lakhotia,Kanwaljit Singh,1
Kanwaljit Singh,Pavan Ongole,1
Ashish Gupta,Kanwaljit Singh,1
Ajay Lakhotia,Pavan Ongole,1
Ajay Lakhotia,Ashish Gupta,1
Ashish Gupta,Pavan Ongole,1
Blume Ventures,"Mumbai Angels, ah! Ventures",1
Blume Ventures,Digital Currency Group,1
Blume Ventures,Boost VC,1
Bank to the Future and Funders Club,Blume Ventures,1
Digital Currency Group,"Mumbai Angels, ah! Ventures",1
Boost VC,"Mumbai Angels, ah! Ventures",1
Bank to the Future and Funders Club,"Mumbai Angels, ah! Ventures",1
Boost VC,Digital Currency Group,1
Bank to the Future and Funders Club,Digital Currency Group,1
Bank to the Future and Funders Club,Boost VC,1
Kae Capital,Sequoia Capital India,1
Kae Capital,Omidyar Network,1
Evan Lim,Mudit Saxena,1
Lumis Partners,The HR Fund,1
Lumis Partners,Rajul Garg,1
Lumis Partners,Quintillion Media,1
Rajul Garg,The HR Fund,1
Quintillion Media,The HR Fund,1
Quintillion Media,Rajul Garg,1
Anupam Mittal,Venk Krishnan,1
Kunal Shah,Venk Krishnan,1
Tracxn Labs,Venk Krishnan,1
Subramanya SV,Venk Krishnan,1
Ravi Garkipati,Venk Krishnan,1
Anupam Mittal,Aprameya Radhakrishna,1
Aprameya Radhakrishna,Kunal Shah,1
Aprameya Radhakrishna,Tracxn Labs,1
Aprameya Radhakrishna,Subramanya SV,1
Aprameya Radhakrishna,Ravi Garkipati,1
Anupam Mittal,Tracxn Labs,1
Anupam Mittal,Subramanya SV,1
Anupam Mittal,Ravi Garkipati,1
Kunal Shah,Tracxn Labs,4
Kunal Shah,Subramanya SV,1
Kunal Shah,Ravi Garkipati,1
Subramanya SV,Tracxn Labs,1
Ravi Garkipati,Tracxn Labs,1
Ravi Garkipati,Subramanya SV,1
Anupam Mittal,Binny Bansal,2
Binny Bansal,Sachin Bhatia,1
Binny Bansal,Darius Pandole,1
Binny Bansal,Kunal Khattar,1
Binny Bansal,Dheerag Jain,1
Anupam Mittal,Sachin Bhatia,1
Anupam Mittal,Darius Pandole,1
Anupam Mittal,Kunal Khattar,1
Anupam Mittal,Dheerag Jain,1
Darius Pandole,Sachin Bhatia,1
Kunal Khattar,Sachin Bhatia,1
Dheerag Jain,Sachin Bhatia,1
Darius Pandole,Kunal Khattar,1
Darius Pandole,Dheerag Jain,1
Dheerag Jain,Kunal Khattar,1
Blume Ventures & Others,Inventus Capital Partners,1
Geniee,Inc,1
Geniee,Purvi Capital,1
Inc,Purvi Capital,1
Anupam Mittal,Sharad Sharma & 14 others,1
Noshir Kaka,Subramanian Ramadorai,1
Kiran Deshpande,Noshir Kaka,1
Noshir Kaka,Pankaj Gupta,1
Noshir Kaka,Ravi Nigam & Others,1
Kiran Deshpande,Subramanian Ramadorai,1
Pankaj Gupta,Subramanian Ramadorai,1
Ravi Nigam & Others,Subramanian Ramadorai,1
Kiran Deshpande,Pankaj Gupta,1
Kiran Deshpande,Ravi Nigam & Others,1
Pankaj Gupta,Ravi Nigam & Others,1
Bennett Coleman & Co. Ltd,Gujarat Venture Finance Limited (GVFL),1
Khattar Holdings,ThirtyThree Investments,1
Khattar Holdings,Soumitra Sharma,1
Deepak Sharma,Khattar Holdings,1
Khattar Holdings,Sumit Dayal and others,1
Soumitra Sharma,ThirtyThree Investments,1
Deepak Sharma,ThirtyThree Investments,1
Sumit Dayal and others,ThirtyThree Investments,1
Deepak Sharma,Soumitra Sharma,1
Soumitra Sharma,Sumit Dayal and others,1
Deepak Sharma,Sumit Dayal and others,1
Mukul Singhal,Rohit Jain,1
Himanshu Aggrawal,Mukul Singhal,1
Mukul Singhal,Sunil Goyal Ashish Gupta,1
Himanshu Aggrawal,Rohit Jain,1
Rohit Jain,Sunil Goyal Ashish Gupta,1
Himanshu Aggrawal,Sunil Goyal Ashish Gupta,1
HT Media Ltd,North Base Media,1
Anand Chandrasekaran,Kanwaljit Singh,1
Anand Chandrasekaran,Manoj Varghese,1
Kanwaljit Singh,Manoj Varghese,2
Foxconn Technology Group,Tencent Holdings,1
Tencent Holdings,Tiger Global,1
SoftBank Group,Tencent Holdings,1
Bharti Enterprises,Tencent Holdings,1
Foxconn Technology Group,Tiger Global,1
Foxconn Technology Group,SoftBank Group,1
Bharti Enterprises,Foxconn Technology Group,1
SoftBank Group,Tiger Global,2
Bharti Enterprises,Tiger Global,1
Bharti Enterprises,SoftBank Group,1
M&S Partners,Powerhouse Ventures,1
