investor_a,investor_b,timesCoInvested
Khosla Ventures,Y Combinator,1
Vy Capital and others,Y Combinator,1
Khosla Ventures,Vy Capital and others,1
Recruit Holdings,Sequoia Capital India,1
Accel Partners,Recruit Holdings,1
Accel Partners,Sequoia Capital India,2
Claris Capital,Mumbai Angels Network,1
Elevar Equity and Accel Partners,responsAbility,1
Ankush Gupta,Pankaj Chopra,1
Tiger Global,Y Combinator,1
Indian fintech fund,Rainmatter,1
Hero Electronix\\xe2\\x80\\x99s corporate financing arm,Sunil Kant Munjal,1
Electronic Development Fund,Sunil Kant Munjal,1
Electronic Development Fund,Hero Electronix\\xe2\\x80\\x99s corporate financing arm,1
Shunwei Capital,Xiaomi Singapore,1
Anuj Agrawal,Incubate Fund India,1
Aspada Investment,LeapFrog Investments,1
LeapFrog Investments,Quona Capital,1
Aspada Investment,Quona Capital,1
Chennai Angels,Lead Angels,1
Chennai Angels,LetsVenture,3
Lead Angels,LetsVenture,2
