name,totalInvested,dealCount
Carrick Capital Partners,35000000.0,1
Caspian and Hivos-Triodos Fund,11000000.0,1
Catamaran Ventures,37850000.0,4
Cataraman Ventures,2000000.0,1
Centre For Incubation & Business Acceleration (CIBA),0.0,0
Centre for Innovation Incubation and Entrepreneurship (CIIE),0.0,0
CerraCap,20000000.0,1
Chan Zuckerberg Initiative,50000000.0,1
Chanakya Hridaya,0.0,0
Chandigarh Angel Network (CAN),0.0,0
Chandigarh Angels,375000.0,1
Chandigarh Angels Funding,0.0,0
Chandigarh Angels Network,0.0,0
Chandigarh Angels Network (CAN),0.0,0
Chandralekha Construction Pvt. Ltd.,15000000.0,1
Chandrashekar Tallapragada,180000.0,1
Chandru Badrinarayanan,650000.0,1
Chatsworth Management,500000.0,1
Chavi Jafa,0.0,0
Cheetah Mobile,13400000.0,1
Chennai Angels,3230000.0,4
Cherry Tin,297000.0,1
Chetan Bhagat,0.0,0
Chicago Capital Ventures,2000000.0,1
Chidambaram Palaniappan,3350000.0,1
China Lodging Group,10000000.0,1
Chip Perry,0.0,0
Chirag Nikunj Sheth & Others,0.0,0
Chiratae Ventures,15000000.0,2
Chiratae Ventures (formerly IDG Ventures),3591375.0,1
ChrysCapital,118000000.0,2
Cipher-Plexus Capital Advisors & Indian HNIs,0.0,0
Cisco Investments,25000000.0,1
Cisco Ventures,6000000.0,1
Cismat Cargo Services Pvt. Ltd.,300000.0,1
Citi Ventures,0.0,0
Citrus Payments,550000.0,1
Clairvest Group,73700000.0,1
Claris Capital,0.0,0
CoCapital,2739034.68,1
CoCreate Ventures,0.0,0
Coatue Management,60000000.0,1
Cogent E Services,330000.0,1
Coleman and Co. Ltd (BCCL),38700000.0,1
Coleman and Company Ltd,15500000.0,2
Coleman and Company Ltd (BCCL),0.0,0
Collaborative Licensing Ventures LLP,303000.0,1
Commonfloor,2500000.0,1
Composite Capital Management,60000000.0,1
Concur Technologies,0.0,0
Consortium of Angel Investors,0.0,0
Constellation Technology Ventures (Exelon Corporation),16600000.0,1
Contrarian Capital,2100000.0,1
Contrarian Capital India Partners,0.0,0
Contrarian Vriddhi Fund,2000000.0,1
Cooperative Oikocredit,11000000.0,1
Corvus Ventures,0.0,0
Costanoa,9500000.0,1
Cota Capital,2950000.0,1
Creation Investments,29000000.0,1
Creation Investments Capital Management,25000000.0,1
Credence Family Office,4000000.0,1
Credika and unnamed angel investors,500000.0,1
Cross Border Angels,800000.0,1
Cross Border Angels & Experts,0.0,0
Cross Border Angels & others,250000.0,1
Ctrip.com International Ltd,180000000.0,1
CureFit,3000000.0,1
Currae Healthtech Fund,745000.0,1
Cyber Carrier,0.0,0
Cyber Carrier CL,0.0,0
Cyber Carrier VC,4000000.0,1
CyberAgent Ventures,4600000.0,1
DA-IICT,290000.0,1
DAH Beteiligungs GmbH,11000000.0,1
DG Daiwa Ventures,12000000.0,1
DG Incubation,12000000.0,1
DG Ventures India,81000000.0,2
DHI Group Inc,4500000.0,1
DIG Investment Ab,1000000.0,1
DILA CAPITAL,2739034.68,1
DMG Information,3000000.0,1
DMG information Asia Pacific,5000000.0,1
DMI Finance,4000000.0,1
DSG Consumer Partners,76767000.0,9
DSG Consumer Partners and Venture Nursery,100000000.0,1
DSG consumer Partners,1000000.0,1
DST Global,1492000000.0,4
DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,225000000.0,1
DST Partners and RPS Ventures,50000000.0,1
DTDC Express Ltd,1000000.0,1
Daffodil Software,0.0,0
Dalip Pathak,9500000.0,1
Dalip Pathak and Others,35000000.0,2
Daljit Singh,300000.0,1
Daman Soni,100000.0,1
DanGold Investment Corp,0.0,0
Darius Pandole,1000000.0,1
Darrin Capital,10750000.0,1
Darshak Shah,0.0,0
Darshan Upadhyay,0.0,0
Das Capital,12000000.0,2
Das Capital and IT Farm,10000000.0,1
Daud Ali,0.0,0
Daud Ali and others,0.0,0
DeNA Co.,380000.0,1
DeVry Inc,10000000.0,1
Deep Kalra,8500000.0,2
Deep Kalra & Others,650000.0,1
Deepak Chokhani,0.0,0
Deepak Ghaisas,0.0,0
Deepak Gupta,200000.0,1
Deepak Gurnani,500000.0,1
Deepak Jain,0.0,0
Deepak Kulkarni,0.0,0
Deepak Nathani,0.0,0
Deepak Natraj,400000.0,1
Deepak Shahdadpuri,0.0,0
Deepak Sharma,0.0,0
Deepak Singh,0.0,0
Deepinder Goyal,6000000.0,1
Delhivery,21000000.0,3
Delta Partners,20000000.0,1
Dena,750000.0,1
Denlow Investment Trust and Beenext,5850000.0,1
Deobrat Singh,100000.0,1
Deshe Holdings,1000000.0,1
Deshpande Foundation,30000000.0,1
Deutsche Telekom Strategic Investments & Others,4100000.0,1
Deutsche Telekom Strategic Investments (DTSI),11000000.0,1
Devdeep Singh,90000.0,1
Development finance institution Belgian Investment Company,8600000.0,1
Devendra Rane,0.0,0
Devendra Reddy,0.0,0
Devesh Rai G,0.0,0
Devesh Sachdev,0.0,0
Devidas Desai,100000.0,1
Dewan Housing Finance Corp,4000000.0,1
Dewang Neralla,500000.0,1
Dexter Angel Circle,0.0,0
Dheerag Jain,1000000.0,1
Dheeraj Jain,700000.0,2
Dheeraj Jain & Other angel investors,400000.0,1
Dheeraj Jain & Others,500000.0,1
Dheeraj Mehta & Others,130000.0,1
Dheeraj Pandey,1000000.0,1
Dhiraj Rajaram,0.0,0
Dhruv Chitgopekar,0.0,0
DiDi Chuxing,100000000.0,1
Diageo India,4000000.0,1
Diaz Nesamoney,6000000.0,1
Didi Kuaidi,530000000.0,2
Digital Currency Group,1500000.0,1
Digital Financial Service Lab,100000.0,1
Digital Garage,29900000.0,4
Digital Garage Inc,20000000.0,1
Dileep Bhatt,200000.0,1
Dileep Nath,4500000.0,1
"Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",3400000.0,1
Dinesh Agarwal,0.0,0
Dinesh Kundu & others,205000.0,1
Dinesh Mittal,250000.0,1
Dinesh R. Challa,4000000.0,1
Dino Morea,0.0,0
Divyesh Shah,250000.0,1
Doreswamy Nandkishore,0.0,0
Dr David Cheriton,0.0,0
Dr Devi Shetty,0.0,0
Dr Faraz Naqvi,2000000.0,1
Dr Mushtaq Shah,2000000.0,1
Dr Nandish Domlur,0.0,0
Dr Paresh Doshi,250000.0,1
Dr Ramesh Ayyala,250000.0,1
Dr V Ravinder,223608.0,1
Dr. Abhishek Pandey,3000000.0,1
Dr. Aniruddha Malpani,650000.0,3
Dr. Aniruddha Malpani Manish Gupta,0.0,0
Dr. Apoorv Ranjan Sharma,250000.0,1
Dr. Goutam Challagalla,0.0,0
Dr. Pooja Gandhi,0.0,0
Dr. Pramath Raj Sinha,0.0,0
