roundId,startupName,investmentType,amountUSD,date,year
round_401,Kuants,Seed / Angel,80000.0,2018-01-12,2018
round_402,Razorpay,Private Equity,20000000.0,2018-01-12,2018
round_403,Streak,Seed / Angel,354600.0,2018-01-15,2018
round_404,pi Ventures,Private Equity,25000000.0,2018-01-15,2018
round_405,Newgen Software,Private Equity,20000000.0,2018-01-15,2018
round_406,Rubix,Private Equity,1000000.0,2018-01-17,2018
round_407,ShareChat,Private Equity,18200000.0,2018-01-18,2018
round_408,Paperflite,Seed / Angel,400000.0,2018-01-22,2018
round_409,HungerBox,Private Equity,2500000.0,2018-01-22,2018
round_410,Skillate,Private Equity,,2018-01-22,2018
round_411,OptaCredit,Private Equity,4000000.0,2018-01-22,2018
round_412,AEON Learning,Private Equity,3200000.0,2018-01-22,2018
round_413,Milkbasket,Private Equity,3000000.0,2018-01-23,2018
round_414,NeoGrowth Credit,Private Equity,47000000.0,2018-01-24,2018
round_415,Rao IIT Academy,Debt,8600000.0,2018-01-24,2018
round_416,Aye Finance,Debt,6240000.0,2018-01-24,2018
round_417,Glassic,Seed / Angel,,2018-01-25,2018
round_418,GreyAtom,Private Equity,1000000.0,2018-01-25,2018
round_419,Axio,Private Equity,7400000.0,2018-01-26,2018
round_420,eKincare,Private Equity,1500000.0,2018-01-29,2018
round_421,The Wedding Brigade,Private Equity,1000000.0,2018-01-29,2018
round_422,PeeSafe,Private Equity,1000000.0,2018-01-30,2018
round_423,BrowserStack,Private Equity,50000000.0,2018-01-30,2018
round_424,Scapic,Seed / Angel,500000.0,2018-01-30,2018
round_425,MoneyOnMobile,Private Equity,7600000.0,2018-01-30,2018
round_426,CureFit,Debt,10000000.0,2018-01-30,2018
round_427,iNurture,Private Equity,4400000.0,2018-01-31,2018
round_428,Strata Enviro,Private Equity,,2017-12-01,2017
round_429,Dunzo,Private Equity,12300000.0,2017-12-05,2017
round_430,Tata Housing,Private Equity,23000000.0,2017-12-05,2017
round_431,HandyTrain,Private Equity,1000000.0,2017-12-05,2017
round_432,Mobycy,Seed / Angel,500000.0,2017-12-05,2017
round_433,Greenlight Planet,Private Equity,60000000.0,2017-12-06,2017
round_434,Fintobox,Private Equity,7000000.0,2017-12-06,2017
round_435,Mswipe,Private Equity,10000000.0,2017-12-07,2017
round_436,The Label Life,Private Equity,3100000.0,2017-12-07,2017
round_437,Cygnus Hospitals,Seed / Angel,750000.0,2017-12-07,2017
round_438,eShakti,Debt,2300000.0,2017-12-07,2017
round_439,Inshorts,Private Equity,5000000.0,2017-12-08,2017
round_440,Vahdam Tea,Private Equity,1500000.0,2017-12-11,2017
round_441,Logic Roots,Seed / Angel,50000.0,2017-12-11,2017
round_442,Project Mudra,Seed / Angel,50000.0,2017-12-11,2017
round_443,Furlenco,Debt,1200000.0,2017-12-11,2017
round_444,I Can Stay,Private Equity,1800000.0,2017-12-12,2017
round_445,Fracktal Works,Seed / Angel,,2017-12-12,2017
round_446,Simility,Private Equity,17500000.0,2017-12-12,2017
round_447,Shopholix,Seed / Angel,233000.0,2017-12-12,2017
round_448,MindTickle,Private Equity,27000000.0,2017-12-13,2017
round_449,Nazara Technologies,Private Equity,27000000.0,2017-12-13,2017
round_450,DocsApp,Private Equity,7200000.0,2017-12-13,2017
round_451,Capita World,Private Equity,,2017-12-13,2017
round_452,Tea Box,Private Equity,7000000.0,2017-12-14,2017
round_453,Transversal Technologies,Private Equity,6000000.0,2017-12-14,2017
