name,industry,subVertical,city,totalRaisedUSD,fundingRounds,firstFunded,lastFunded
Agrowave,Consumer Internet & Tech,Agriculture Supply Chain management solutions,Gurgaon,0.0,1,2017-10-09,2017-10-09
AirCTO,Consumer Internet & Tech,AI powered recruitment platform,Bangalore,0.0,1,2017-07-19,2017-07-19
AirMed Labs,Consumer Internet & Tech,Health Tests Booking platform & ePharmacy,Ahmedabad,1400000.0,1,2017-01-26,2017-01-26
AirZaar,Consumer Internet & Tech,Drone operations management platform,Missourie,350000.0,1,2017-02-15,2017-02-15
Airpay,Consumer Internet & Tech,Online payment Gateway,Mumbai,3670000.0,1,2017-03-21,2017-03-21
Airwood,Consumer Internet & Tech,Agri Data & Analytics Platform,Chennai,0.0,1,2016-05-02,2016-05-02
Aisle,Consumer Internet & Tech,Online match-making app,Bangalore,185000.0,2,2016-01-29,2017-02-17
Aisle.co,,,,100000.0,1,2015-02-05,2015-02-05
Akosha,Social & Community,,Delhi,16000000.0,1,2015-05-19,2015-05-19
Alef\\nMobitech,Consumer Internet & Tech,Cloud Mobility Solutions,Mumbai,5000000.0,1,2016-01-05,2016-01-05
AllIzHealth,Healthtech,,Pune,350000.0,1,2015-06-02,2015-06-02
Allygrow Technologies,B2B & Industrial,,Mumbai,20000000.0,1,2015-08-11,2015-08-11
AlmaConnect,Consumer Internet & Tech,Alumni social network,Delhi,0.0,1,2016-02-19,2016-02-19
AlmaMapper,Social & Community,,Ahmedabad,400000.0,1,2015-10-26,2015-10-26
Alpha Capital,Fintech,Supplychain Finance,Mumbai,14800000.0,1,2018-06-12,2018-06-12
Alteria Capital,Fintech,VC Funds,Mumbai,140000000.0,1,2019-08-01,2019-08-01
Alternacare,Consumer Internet & Tech,Online Doctor Consulting platform,Delhi,500000.0,1,2016-09-07,2016-09-07
Altizone,Consumer Internet & Tech,IoT & M2M Solutions,Pune,4000000.0,1,2016-02-02,2016-02-02
Amagi Media Labs,Consumer Internet & Tech,Media Technology Solutions,Mumbai,35000000.0,2,2015-01-20,2016-12-15
Ambee,Consumer Internet & Tech,Ambulance Aggregation Services,Hyderabad,0.0,1,2017-07-18,2017-07-18
American Vision,Consumer Internet & Tech,Optical Store Aggregator Platform,Pune,81000.0,1,2016-02-05,2016-02-05
Amigobulls,Fintech,,Bangalore,0.0,1,2015-09-23,2015-09-23
Ampere,CleanTech & Energy,,Coimbatore,0.0,1,2015-07-08,2015-07-08
Ampere Vehicles,CleanTech & Energy,,Coimbatore,1200000.0,1,2015-12-18,2015-12-18
Anakage,Edtech,,Bangalore,0.0,1,2015-12-03,2015-12-03
Anandakanda,Consumer Internet & Tech,Medicine Intake Reminder System,Pune,150000.0,1,2016-02-10,2016-02-10
Anchanto,Consumer Internet & Tech,E-commerce Fulfilment Platform,Pune,4000000.0,2,2017-05-09,2018-07-04
Annapurna Finance,Fintech,Non-Banking Financial Company,Bhubaneswar,23000000.0,1,2018-06-07,2018-06-07
Antuit,,,,56000000.0,1,2015-01-22,2015-01-22
AppBrowzer,Consumer Internet & Tech,Instant Mobile Apps Store,Bangalore,500000.0,1,2017-03-09,2017-03-09
AppDaily,Consumer Internet & Tech,Mobile Security App development & Distribution,Mumbai,2000000.0,1,2016-07-07,2016-07-07
AppLop,Consumer Internet & Tech,Mobile Apps SaaS Platform,Gurgaon,250000.0,1,2016-07-19,2016-07-19
AppVirality,Other,,Hyderabad,500000.0,2,2015-01-13,2015-11-09
Appario Retail Pvt Ltd.,E-Commerce,Retail,Delhi,18840000.0,1,2018-01-10,2018-01-10
Appbase,,,,290000.0,1,2015-02-21,2015-02-21
Appedo,,,,1000000.0,1,2015-03-11,2015-03-11
Appie,Consumer Internet & Tech,Location-based offline retail discovery platform,Mumbai,1000000.0,1,2016-05-19,2016-05-19
AppilyEver,Consumer Internet & Tech,Online wedding services marketplace,Hyderabad,400000.0,1,2016-02-24,2016-02-24
Appknox,Consumer Internet & Tech,Mobile security solutions,Bangalore,675000.0,1,2016-08-17,2016-08-17
Applicate,Consumer Internet & Tech,"Sales, Market, Distribution & Data Analytics Platform",Bangalore,1550000.0,2,2015-05-04,2016-01-27
Applied Solar Technologies,CleanTech & Energy,,Mumbai,40000000.0,1,2015-06-08,2015-06-08
